mol1,mol2,similarity
CCOC(=O)Cc1ccc2c(c1)OCc1ccccc1C2=O,CCOC(=O)Cc1ccc2c(c1)OCc1ccccc1C2=O,1.0
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2)c1,C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2)c1,1.0
CN(C)CCN1C[C@@H]2CN(C(=O)C3CCOC3)C[C@@H]2C1=O,CN(C)CCN1C[C@@H]2CN(C(=O)C3CCOC3)C[C@@H]2C1=O,1.0
CCN(CC)Cc1cc(Nc2ccncc2)ccc1O,CCN(CC)Cc1cc(Nc2ccncc2)ccc1O,1.0
Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccccc1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccccc1,1.0
CCC(=O)c1c[nH]c(C(=O)NCCCN2CCOCC2)c1,CCC(=O)c1c[nH]c(C(=O)NCCCN2CCOCC2)c1,1.0
Cc1cc(-c2ccc(C(=O)C(Cl)(Cl)Cl)[nH]2)on1,Cc1cc(-c2ccc(C(=O)C(Cl)(Cl)Cl)[nH]2)on1,1.0
O=C1O[Mg]2(OC(=O)c3ccccc3O2)Oc2ccccc21,O=C1O[Mg]2(OC(=O)c3ccccc3O2)Oc2ccccc21,1.0
CCOC(=O)C1(C)CCN1C(=O)c1ccc2ccccc2c1,CCOC(=O)C1(C)CCN1C(=O)c1ccc2ccccc2c1,1.0
COc1nccc2c(-c3ccc(Cl)cc3)nc(N)nc12,COc1nccc2c(-c3ccc(Cl)cc3)nc(N)nc12,1.0
Cc1nc2cc(Nc3ccccc3C(=O)O)ccc2s1,Cc1nc2cc(Nc3ccccc3C(=O)O)ccc2s1,1.0
CC(OC(C)(C)C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CC(OC(C)(C)C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,1.0
CCC1C(=O)N2CCSC2=[N+](CC(C)C)C1=O,CCC1C(=O)N2CCSC2=[N+](CC(C)C)C1=O,1.0
Cc1csc(NC(=O)C2CCC(C)(C(=O)O)C2(C)C)n1,Cc1csc(NC(=O)C2CCC(C)(C(=O)O)C2(C)C)n1,1.0
CC/C=C1\OC(=O)C2=C1C=CC(O)C2O,CC/C=C1\OC(=O)C2=C1C=CC(O)C2O,1.0
N#Cc1ccc(/C=C2/N=C(c3ccccc3)OC2=O)cc1,N#Cc1ccc(/C=C2/N=C(c3ccccc3)OC2=O)cc1,1.0
COc1ccc2c(c1)cc(C(=O)NCc1ccccc1)n2C,COc1ccc2c(c1)cc(C(=O)NCc1ccccc1)n2C,1.0
NS(=O)(=O)c1ccc(-n2ncc3c2CCCC3=O)cc1,NS(=O)(=O)c1ccc(-n2ncc3c2CCCC3=O)cc1,1.0
Cc1cccc(OCC(=O)NC2CCCCCC2)c1C,Cc1cccc(OCC(=O)NC2CCCCCC2)c1C,1.0
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,1.0
O=C(NCc1cccnc1)Nc1cccc(C(F)(F)F)c1,O=C(NCc1cccnc1)Nc1cccc(C(F)(F)F)c1,1.0
Cc1c(C(=O)O)oc2c1C(=O)CSC2,Cc1c(C(=O)O)oc2c1C(=O)CSC2,1.0
COC1CCCN(C(=O)NCC(F)F)C1,COC1CCCN(C(=O)NCC(F)F)C1,1.0
C1CCC2(CC1)OCC1(O2)C2CC3CC(C2)CC1C3,C1CCC2(CC1)OCC1(O2)C2CC3CC(C2)CC1C3,1.0
CN(C)CCCNC(CC#N)CCC#N,CN(C)CCCNC(CC#N)CCC#N,1.0
Cc1cc([N+](=O)[O-])nn1Cn1nc([N+](=O)[O-])cc1C,Cc1cc([N+](=O)[O-])nn1Cn1nc([N+](=O)[O-])cc1C,1.0
COc1ccc(C(=O)Nc2cc(CC(C)C)nn2C)cc1,COc1ccc(C(=O)Nc2cc(CC(C)C)nn2C)cc1,1.0
CCCCNc1c(N)n(CCCC)c(=O)[nH]c1=O,CCCCNc1c(N)n(CCCC)c(=O)[nH]c1=O,1.0
CNc1nc(C)cc(Nc2cc(Cl)cc(Cl)c2)n1,CNc1nc(C)cc(Nc2cc(Cl)cc(Cl)c2)n1,1.0
O=C1N2CCN=C2c2ccccc2C1(O)c1ccccc1,O=C1N2CCN=C2c2ccccc2C1(O)c1ccccc1,1.0
O=C(COc1cccc(C(F)(F)F)c1)Nc1cccnc1,O=C(COc1cccc(C(F)(F)F)c1)Nc1cccnc1,1.0
Cc1cc(=O)c(C(=O)O)cn1-c1ccc(C(C)C)cc1,Cc1cc(=O)c(C(=O)O)cn1-c1ccc(C(C)C)cc1,1.0
CC(C)OC(=O)c1ccc(NC(=O)c2ccccc2)cc1,CC(C)OC(=O)c1ccc(NC(=O)c2ccccc2)cc1,1.0
CNC(=O)c1ccc(-c2ccccc2)n1C,CNC(=O)c1ccc(-c2ccccc2)n1C,1.0
O=C(CC12CC3CC(CC(C3)C1)C2)NCc1cccs1,O=C(CC12CC3CC(CC(C3)C1)C2)NCc1cccs1,1.0
CC(C)(C)NC(=O)Nc1ccc(C(F)(F)F)cc1C[C@H]1O[C@@H]([C@@H]2CCC[N+]2(C)C)CS1,CC(C)(C)NC(=O)Nc1ccc(C(F)(F)F)cc1C[C@H]1O[C@@H]([C@@H]2CCC[N+]2(C)C)CS1,1.0
Cc1cccc(C)c1NC(=O)C1CC2CCC1C2,Cc1cccc(C)c1NC(=O)C1CC2CCC1C2,1.0
CC(=O)NCCOC(=O)Nc1ccncc1,CC(=O)NCCOC(=O)Nc1ccncc1,1.0
CC(C)(C)C(=O)CSc1nc2ccccc2o1,CC(C)(C)C(=O)CSc1nc2ccccc2o1,1.0
C/C=C(/C)C(=O)NS(=O)(=O)c1ccc(Cl)cn1,C/C=C(/C)C(=O)NS(=O)(=O)c1ccc(Cl)cn1,1.0
COc1ccc(CN2C(=O)Cc3ccccc3C2=O)cc1,COc1ccc(CN2C(=O)Cc3ccccc3C2=O)cc1,1.0
C=C(C)C(=O)c1ccc(OC)cc1OC,C=C(C)C(=O)c1ccc(OC)cc1OC,1.0
COC(=O)CCCCCCCCC(O)CN(C)C,COC(=O)CCCCCCCCC(O)CN(C)C,1.0
O=c1c2ccccc2ncn1-c1cccc([N+](=O)[O-])c1,O=c1c2ccccc2ncn1-c1cccc([N+](=O)[O-])c1,1.0
Cc1n[nH]c2c1C(c1ccc(F)cc1)c1c(N)n[nH]c1O2,Cc1n[nH]c2c1C(c1ccc(F)cc1)c1c(N)n[nH]c1O2,1.0
CC(=O)Nc1cccc2c1Cc1cc([N+](=O)[O-])ccc1-2,CC(=O)Nc1cccc2c1Cc1cc([N+](=O)[O-])ccc1-2,1.0
COc1ccc(/C=C2\SC(=O)NC2=O)cc1OC,COc1ccc(/C=C2\SC(=O)NC2=O)cc1OC,1.0
O=C(Cc1ccc(O)c(Cl)c1)NCCN1CCNCC1,O=C(Cc1ccc(O)c(Cl)c1)NCCN1CCNCC1,1.0
COCCCNC(=S)N/N=C/c1ccc(O)cc1,COCCCNC(=S)N/N=C/c1ccc(O)cc1,1.0
COc1ccc(Oc2ccccc2N)cc1,COc1ccc(Oc2ccccc2N)cc1,1.0
CNc1ccc(N2CCC(Cc3c[nH]cn3)CC2)cc1,CNc1ccc(N2CCC(Cc3c[nH]cn3)CC2)cc1,1.0
CCc1ccc(N2CC(C(=O)OC)CC2=O)cc1,CCc1ccc(N2CC(C(=O)OC)CC2=O)cc1,1.0
COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1cccnc1,COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1cccnc1,1.0
O=C(COc1ccccc1)NC1=NCCS1,O=C(COc1ccccc1)NC1=NCCS1,1.0
Cc1cccc2c1NC1(CCCC1)CC2C,Cc1cccc2c1NC1(CCCC1)CC2C,1.0
NC(=O)C1CCN(c2ncccc2[N+](=O)[O-])CC1,NC(=O)C1CCN(c2ncccc2[N+](=O)[O-])CC1,1.0
COc1ccc2c(c1)CN1CN2Cc2cc(OC)ccc21,COc1ccc2c(c1)CN1CN2Cc2cc(OC)ccc21,1.0
S=c1[nH]nnn1C12CC3CC(CC(C3)C1)C2,S=c1[nH]nnn1C12CC3CC(CC(C3)C1)C2,1.0
CC(C)(C)Cc1ccc(C(=O)[O-])c(O)n1.[Na+],CC(C)(C)Cc1ccc(C(=O)[O-])c(O)n1.[Na+],1.0
COc1cc(CCN)c(OC)c(OC)c1.Cl,COc1cc(CCN)c(OC)c(OC)c1.Cl,1.0
COc1cccc2c3ccccc3c[n+](C)c12.[Cl-],COc1cccc2c3ccccc3c[n+](C)c12.[Cl-],1.0
O=C(O)C(F)(F)C(NCc1ccccc1)c1ccccc1,O=C(O)C(F)(F)C(NCc1ccccc1)c1ccccc1,1.0
CCn1c(C)nnc1SCC(=O)Nc1nccs1,CCn1c(C)nnc1SCC(=O)Nc1nccs1,1.0
COc1cc(-c2nc3cc(Cl)ccc3o2)ccc1O,COc1cc(-c2nc3cc(Cl)ccc3o2)ccc1O,1.0
CC1CCCC(NC(=O)CNC(=O)c2cccs2)C1C,CC1CCCC(NC(=O)CNC(=O)c2cccs2)C1C,1.0
O=c1ccn([C@H]2CO[C@@H](CO)O2)c(=O)[nH]1,O=c1ccn([C@H]2CO[C@@H](CO)O2)c(=O)[nH]1,1.0
OC[C@H]1OC(n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O,OC[C@H]1OC(n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O,1.0
CC(=O)Nc1sc(C)c(C)c1C(=O)OC1CCOC1=O,CC(=O)Nc1sc(C)c(C)c1C(=O)OC1CCOC1=O,1.0
O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCCl,1.0
CS(=O)(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,CS(=O)(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,1.0
Cc1cccc(NC(=O)c2ccccc2C(=O)O)c1,Cc1cccc(NC(=O)c2ccccc2C(=O)O)c1,1.0
c1ccc2c(c1)NC(c1ccncc1)n1c-2nc2ccccc21,c1ccc2c(c1)NC(c1ccncc1)n1c-2nc2ccccc21,1.0
NCC(c1ccccc1)N1CCc2sccc2C1,NCC(c1ccccc1)N1CCc2sccc2C1,1.0
CCOC(=O)c1ccc(NC(=O)NCc2ccccc2)cc1,CCOC(=O)c1ccc(NC(=O)NCc2ccccc2)cc1,1.0
Cc1ccc(Nc2nc(C)cc(C)n2)c(Br)c1,Cc1ccc(Nc2nc(C)cc(C)n2)c(Br)c1,1.0
Oc1c(C2OCCc3ccccc32)ccc2cccnc12,Oc1c(C2OCCc3ccccc32)ccc2cccnc12,1.0
COc1cccc(C(=O)NCc2cccnc2)c1,COc1cccc(C(=O)NCc2cccnc2)c1,1.0
CCOc1ccccc1CNC(CC)CO.Cl,CCOc1ccccc1CNC(CC)CO.Cl,1.0
CC1(C)CC(=O)C=C(NNC(=O)c2ccccc2)C1,CC1(C)CC(=O)C=C(NNC(=O)c2ccccc2)C1,1.0
Cc1ccc(Oc2ccccc2F)c(CC(=O)O)c1,Cc1ccc(Oc2ccccc2F)c(CC(=O)O)c1,1.0
CC(C)=NNc1nc2c(c(=O)n(C)c(=O)n2C)n1C,CC(C)=NNc1nc2c(c(=O)n(C)c(=O)n2C)n1C,1.0
CN(C)CCCCNc1ccnc2ccccc12,CN(C)CCCCNc1ccnc2ccccc12,1.0
CN(C)CCOC(=O)COc1ccc(Cl)cc1,CN(C)CCOC(=O)COc1ccc(Cl)cc1,1.0
Cc1occc(=O)c1OCc1ccccc1,Cc1occc(=O)c1OCc1ccccc1,1.0
CCN(C(=O)Nc1ccccc1)c1ccccc1,CCN(C(=O)Nc1ccccc1)c1ccccc1,1.0
COc1ccccc1[C@H]1C[C@@H]1CN.Cl,COc1ccccc1[C@H]1C[C@@H]1CN.Cl,1.0
Cc1ccc(OCC(=O)NCc2ccccn2)cc1,Cc1ccc(OCC(=O)NCc2ccccn2)cc1,1.0
CCCCCCC1(C)SC(NC(C)=O)=NN1C(C)=O,CCCCCCC1(C)SC(NC(C)=O)=NN1C(C)=O,1.0
O=BOB([O-])OB([O-])OB=O.[Na+].[Na+],O=BOB([O-])OB([O-])OB=O.[Na+].[Na+],1.0
CC1(C)[N+]([O-])=C2C(=O)c3ccccc3C2=[N+]([O-])C1(C)C,CC1(C)[N+]([O-])=C2C(=O)c3ccccc3C2=[N+]([O-])C1(C)C,1.0
Cc1cc(Nc2ccc(C#N)cc2)nc(-c2ccccc2)n1,Cc1cc(Nc2ccc(C#N)cc2)nc(-c2ccccc2)n1,1.0
Nc1ccc(Cl)cc1C(=O)c1ccccc1Cl,Nc1ccc(Cl)cc1C(=O)c1ccccc1Cl,1.0
CCOC(=O)c1cnc2ccc(Br)cc2c1O,CCOC(=O)c1cnc2ccc(Br)cc2c1O,1.0
CC(C)CNC(=O)c1ccc(Cl)c(N)c1,CC(C)CNC(=O)c1ccc(Cl)c(N)c1,1.0
O=C(Nc1ccc(C(=O)O)cc1)Nc1ccc(F)cc1F,O=C(Nc1ccc(C(=O)O)cc1)Nc1ccc(F)cc1F,1.0
CSc1ccccc1NC(=O)c1ccco1,CSc1ccccc1NC(=O)c1ccco1,1.0
Cn1c(=O)c2nc(-c3cccc(O)c3)[nH]c2n(C)c1=O,Cn1c(=O)c2nc(-c3cccc(O)c3)[nH]c2n(C)c1=O,1.0
Cc1ccc(CNc2ncnc(N)c2[N+](=O)[O-])cc1,Cc1ccc(CNc2ncnc(N)c2[N+](=O)[O-])cc1,1.0
CN(C)CCCOC(=O)CCc1ccccc1.Cl,CN(C)CCCOC(=O)CCc1ccccc1.Cl,1.0
COc1ccc(C(=O)NC2CC2)c(OC)c1,COc1ccc(C(=O)NC2CC2)c(OC)c1,1.0
COc1ccc(F)cc1-n1cnc(CCNC(C)=O)c1,COc1ccc(F)cc1-n1cnc(CCNC(C)=O)c1,1.0
CN1CCN(Cc2cnn3ccccc23)CC1,CN1CCN(Cc2cnn3ccccc23)CC1,1.0
COc1ccc(C(C#N)(CCC#N)CCC#N)cc1OC,COc1ccc(C(C#N)(CCC#N)CCC#N)cc1OC,1.0
C[C@H](NC(=O)Nc1ccccc1F)c1ccccc1,C[C@H](NC(=O)Nc1ccccc1F)c1ccccc1,1.0
CCCOc1ccc2nc(NC(=O)OC)sc2c1,CCCOc1ccc2nc(NC(=O)OC)sc2c1,1.0
C#CCNCCc1cccc(OC(=O)N(C)C)c1,C#CCNCCc1cccc(OC(=O)N(C)C)c1,1.0
Cc1cccc(NC(S)=NCc2ccccn2)c1,Cc1cccc(NC(S)=NCc2ccccn2)c1,1.0
O=C(O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,O=C(O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,1.0
Cc1cc(C)nc(S/C=C/C(=O)c2ccc(F)cc2)n1,Cc1cc(C)nc(S/C=C/C(=O)c2ccc(F)cc2)n1,1.0
Nc1ncnc2c1ncn2/C=C/C(=O)c1ccccc1,Nc1ncnc2c1ncn2/C=C/C(=O)c1ccccc1,1.0
NC(=O)C1=CN(O)C(C(=O)[O-])C1.[K+],NC(=O)C1=CN(O)C(C(=O)[O-])C1.[K+],1.0
Cc1ccccc1NC(=O)c1ccccc1,Cc1ccccc1NC(=O)c1ccccc1,1.0
CC(NC1=NCCC1)c1ccccc1.Cl,CC(NC1=NCCC1)c1ccccc1.Cl,1.0
O=C(CNC(=O)c1cccs1)Nc1ncccc1O,O=C(CNC(=O)c1cccs1)Nc1ncccc1O,1.0
CCCCCCC1CC(C)(/C(C)=N/NC(N)=O)OC1=O,CCCCCCC1CC(C)(/C(C)=N/NC(N)=O)OC1=O,1.0
CNC(=O)Oc1cccc(N=CN(C)C)c1.Cl,CNC(=O)Oc1cccc(N=CN(C)C)c1.Cl,1.0
N#CC(C(=O)Nc1ccc(C(F)(F)F)cc1)=[N+]([O-])[O-],N#CC(C(=O)Nc1ccc(C(F)(F)F)cc1)=[N+]([O-])[O-],1.0
CCSCCC(=O)c1ccc(Cl)cc1,CCSCCC(=O)c1ccc(Cl)cc1,1.0
Sc1nnc(-c2ccccc2)c2ccccc12,Sc1nnc(-c2ccccc2)c2ccccc12,1.0
c1ccc(OC2CCCCC2N2CCOCC2)cc1,c1ccc(OC2CCCCC2N2CCOCC2)cc1,1.0
CCCOCc1cn(-c2cc(Cl)cc(Cl)c2)nn1,CCCOCc1cn(-c2cc(Cl)cc(Cl)c2)nn1,1.0
Nc1ccc(N2CCCCC2)c(Cl)c1,Nc1ccc(N2CCCCC2)c(Cl)c1,1.0
CCCCc1ccc(NC(=O)C2CCCC2)cc1,CCCCc1ccc(NC(=O)C2CCCC2)cc1,1.0
COc1cc2c(c3c1OC(C)(C)CC3=O)C[C@@H](C)OC2=O,COc1cc2c(c3c1OC(C)(C)CC3=O)C[C@@H](C)OC2=O,1.0
COCC(C)N=C(S)Nc1ccccc1[N+](=O)[O-],COCC(C)N=C(S)Nc1ccccc1[N+](=O)[O-],1.0
CSc1ncc(CN(C)C(C)c2cccnc2)cn1,CSc1ncc(CN(C)C(C)c2cccnc2)cn1,1.0
O=c1cc(O)[nH]c(=O)n1C1CCCCCC1,O=c1cc(O)[nH]c(=O)n1C1CCCCCC1,1.0
Cc1noc(C2CCN(Cn3cc(Cl)cn3)CC2)n1,Cc1noc(C2CCN(Cn3cc(Cl)cn3)CC2)n1,1.0
C=C(C)c1ccc(/C(C)=N\N=C2/NC(=O)CS2)cc1,C=C(C)c1ccc(/C(C)=N\N=C2/NC(=O)CS2)cc1,1.0
CC(C)(C)NC(=O)Cn1ccc(=N)c2ccccc21,CC(C)(C)NC(=O)Cn1ccc(=N)c2ccccc21,1.0
O=S(=O)(CCN1CCCC1)NCc1ccccc1,O=S(=O)(CCN1CCCC1)NCc1ccccc1,1.0
Cc1c2c(nc3sc4c(N)ncnc4c13)CCCC2,Cc1c2c(nc3sc4c(N)ncnc4c13)CCCC2,1.0
CCOc1cc(C=O)ccc1OCC(=O)N1CCCC1,CCOc1cc(C=O)ccc1OCC(=O)N1CCCC1,1.0
Cc1ccsc1/C=N/NC(=O)Cn1cnc2ccccc21,Cc1ccsc1/C=N/NC(=O)Cn1cnc2ccccc21,1.0
CCc1ocnc1C(=O)N1CCOC(CCCC(C)C)C1,CCc1ocnc1C(=O)N1CCOC(CCCC(C)C)C1,1.0
C=C1C(C)=C(C#N)C(=O)N1c1nccs1,C=C1C(C)=C(C#N)C(=O)N1c1nccs1,1.0
CC(C)(C)CN/C(=C\[N+](=O)[O-])Nc1ccncc1,CC(C)(C)CN/C(=C\[N+](=O)[O-])Nc1ccncc1,1.0
Cc1ccccc1C(=O)NCCCNC(=O)c1ccco1,Cc1ccccc1C(=O)NCCCNC(=O)c1ccco1,1.0
Oc1nc2cc(Cl)c(Cl)cc2o1,Oc1nc2cc(Cl)c(Cl)cc2o1,1.0
CCCNC(=S)Nc1cc(-n2cccn2)ncn1,CCCNC(=S)Nc1cc(-n2cccn2)ncn1,1.0
O=C(Nc1cccc2ncccc12)c1ccccc1Cl,O=C(Nc1cccc2ncccc12)c1ccccc1Cl,1.0
C=CC(=O)C#CC#C/C=C\C(=O)CCCCCCC,C=CC(=O)C#CC#C/C=C\C(=O)CCCCCCC,1.0
O=C(CSC1=NCCS1)NC1CCCCC1,O=C(CSC1=NCCS1)NC1CCCCC1,1.0
N[C@@H]1CCN(c2cnc3c(O)ccc(C(=O)O)c3c2)C1,N[C@@H]1CCN(c2cnc3c(O)ccc(C(=O)O)c3c2)C1,1.0
O=C(O)C(=O)/C=C(\O)c1cccc(F)c1,O=C(O)C(=O)/C=C(\O)c1cccc(F)c1,1.0
CSc1[nH]nc(NC(=O)c2cccnc2)c1C#N,CSc1[nH]nc(NC(=O)c2cccnc2)c1C#N,1.0
Cc1ccc(CSc2nnc(C)c(O)n2)cc1,Cc1ccc(CSc2nnc(C)c(O)n2)cc1,1.0
Cc1n[nH]c(Nc2ccc(O)cc2)c1[N+](=O)[O-],Cc1n[nH]c(Nc2ccc(O)cc2)c1[N+](=O)[O-],1.0
COCCN1CCOCC12CCN(c1cnccn1)CC2,COCCN1CCOCC12CCN(c1cnccn1)CC2,1.0
O=C(O)CCCSc1nc2ccccc2s1,O=C(O)CCCSc1nc2ccccc2s1,1.0
Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,1.0
